timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1672909003100,1604,sub-login,200,OK,NormalLoginFlow 1-4,text,true,,341,261,10,10,https://testapi.logiqids.com/v2/sub-user/login/,1604,0,500
1672909003193,2503,sub-login,200,OK,NormalLoginFlow 1-5,text,true,,341,259,10,10,https://testapi.logiqids.com/v2/sub-user/login/,2503,0,410
1672909003024,3708,sub-login,200,OK,NormalLoginFlow 1-3,text,true,,341,267,10,10,https://testapi.logiqids.com/v2/sub-user/login/,3708,0,578
1672909003545,4209,sub-login,200,OK,NormalLoginFlow 1-9,text,true,,341,260,10,10,https://testapi.logiqids.com/v2/sub-user/login/,4209,0,56
1672909003367,5307,sub-login,200,OK,NormalLoginFlow 1-7,text,true,,341,260,10,10,https://testapi.logiqids.com/v2/sub-user/login/,5307,0,237
1672909003290,5385,sub-login,200,OK,NormalLoginFlow 1-6,text,true,,341,261,10,10,https://testapi.logiqids.com/v2/sub-user/login/,5385,0,312
1672909003018,5741,sub-login,200,OK,NormalLoginFlow 1-2,text,true,,341,262,10,10,https://testapi.logiqids.com/v2/sub-user/login/,5741,0,583
1672909003021,6681,sub-login,200,OK,NormalLoginFlow 1-1,text,true,,341,259,10,10,https://testapi.logiqids.com/v2/sub-user/login/,6681,0,594
1672909003451,6255,sub-login,200,OK,NormalLoginFlow 1-8,text,true,,341,261,10,10,https://testapi.logiqids.com/v2/sub-user/login/,6255,0,163
1672909003639,6139,sub-login,200,OK,NormalLoginFlow 1-10,text,true,,341,275,10,10,https://testapi.logiqids.com/v2/sub-user/login/,6139,0,27
1672909004709,5241,sub-user,200,OK,NormalLoginFlow 1-4,text,true,,1149,521,10,10,https://testapi.logiqids.com/v2/user/662893/sub-user/,5035,0,0
1672909004709,5035,sub-user-0,301,Moved Permanently,NormalLoginFlow 1-4,text,true,,206,260,10,10,https://testapi.logiqids.com/v2/user/662893/sub-user,5035,0,0
1672909009744,206,sub-user-1,200,OK,NormalLoginFlow 1-4,text,true,,943,261,10,10,https://testapi.logiqids.com/v2/user/662893/sub-user/,206,0,0
1672909006733,3234,sub-user,200,OK,NormalLoginFlow 1-3,text,true,,1272,521,10,10,https://testapi.logiqids.com/v2/user/662979/sub-user/,3015,0,0
1672909006733,3015,sub-user-0,301,Moved Permanently,NormalLoginFlow 1-3,text,true,,206,260,10,10,https://testapi.logiqids.com/v2/user/662979/sub-user,3015,0,0
1672909009749,218,sub-user-1,200,OK,NormalLoginFlow 1-3,text,true,,1066,261,10,10,https://testapi.logiqids.com/v2/user/662979/sub-user/,218,0,0
1672909005699,4283,sub-user,200,OK,NormalLoginFlow 1-5,text,true,,2836,521,10,10,https://testapi.logiqids.com/v2/user/662889/sub-user/,4042,0,0
1672909005699,4042,sub-user-0,301,Moved Permanently,NormalLoginFlow 1-5,text,true,,206,260,10,10,https://testapi.logiqids.com/v2/user/662889/sub-user,4042,0,0
1672909009743,239,sub-user-1,200,OK,NormalLoginFlow 1-5,text,true,,2630,261,10,10,https://testapi.logiqids.com/v2/user/662889/sub-user/,239,0,0
1672909008675,1399,sub-user,200,OK,NormalLoginFlow 1-7,text,true,,749,521,10,10,https://testapi.logiqids.com/v2/user/663328/sub-user/,1078,0,0
1672909008675,1078,sub-user-0,301,Moved Permanently,NormalLoginFlow 1-7,text,true,,206,260,10,10,https://testapi.logiqids.com/v2/user/663328/sub-user,1078,0,0
1672909009753,321,sub-user-1,200,OK,NormalLoginFlow 1-7,text,true,,543,261,10,10,https://testapi.logiqids.com/v2/user/663328/sub-user/,321,0,0
1672909009703,612,sub-user,200,OK,NormalLoginFlow 1-1,text,true,,1182,521,10,10,https://testapi.logiqids.com/v2/user/662943/sub-user/,53,0,0
1672909009703,53,sub-user-0,301,Moved Permanently,NormalLoginFlow 1-1,text,true,,206,260,10,10,https://testapi.logiqids.com/v2/user/662943/sub-user,53,0,0
1672909009756,559,sub-user-1,200,OK,NormalLoginFlow 1-1,text,true,,976,261,10,10,https://testapi.logiqids.com/v2/user/662943/sub-user/,558,0,0
1672909008676,1726,sub-user,200,OK,NormalLoginFlow 1-6,text,true,,7609,521,10,10,https://testapi.logiqids.com/v2/user/663377/sub-user/,1076,0,0
1672909008676,1076,sub-user-0,301,Moved Permanently,NormalLoginFlow 1-6,text,true,,206,260,10,10,https://testapi.logiqids.com/v2/user/663377/sub-user,1076,0,0
1672909009752,650,sub-user-1,200,OK,NormalLoginFlow 1-6,text,true,,7403,261,10,10,https://testapi.logiqids.com/v2/user/663377/sub-user/,650,0,0
1672909007755,2737,sub-user,200,OK,NormalLoginFlow 1-9,text,true,,17772,521,10,10,https://testapi.logiqids.com/v2/user/663305/sub-user/,1995,0,0
1672909007755,1995,sub-user-0,301,Moved Permanently,NormalLoginFlow 1-9,text,true,,206,260,10,10,https://testapi.logiqids.com/v2/user/663305/sub-user,1995,0,0
1672909009751,741,sub-user-1,200,OK,NormalLoginFlow 1-9,text,true,,17566,261,10,10,https://testapi.logiqids.com/v2/user/663305/sub-user/,741,0,0
