timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1672812771708,1747,sub-login,200,OK,Thread Group 1-1,text,true,,341,268,10,10,https://testapi.logiqids.com/v2/sub-user/login/,1722,0,652
1672812771711,1750,sub-login,200,OK,Thread Group 1-2,text,true,,341,268,10,10,https://testapi.logiqids.com/v2/sub-user/login/,1718,0,652
1672812771872,1591,sub-login,200,OK,Thread Group 1-5,text,true,,341,268,10,10,https://testapi.logiqids.com/v2/sub-user/login/,1553,0,491
1672812772259,2164,sub-login,200,OK,Thread Group 1-9,text,true,,341,268,10,10,https://testapi.logiqids.com/v2/sub-user/login/,2164,0,103
1672812772065,2362,sub-login,200,OK,Thread Group 1-7,text,true,,341,268,10,10,https://testapi.logiqids.com/v2/sub-user/login/,2362,0,296
1672812771763,2664,sub-login,200,OK,Thread Group 1-4,text,true,,341,268,10,10,https://testapi.logiqids.com/v2/sub-user/login/,2664,0,599
1672812771722,3729,sub-login,200,OK,Thread Group 1-3,text,true,,341,268,10,10,https://testapi.logiqids.com/v2/sub-user/login/,3729,0,643
1672812772167,3286,sub-login,200,OK,Thread Group 1-8,text,true,,341,268,10,10,https://testapi.logiqids.com/v2/sub-user/login/,3286,0,193
1672812771978,3477,sub-login,200,OK,Thread Group 1-6,text,true,,341,268,10,10,https://testapi.logiqids.com/v2/sub-user/login/,3477,0,383
1672812772356,3827,sub-login,200,OK,Thread Group 1-10,text,true,,341,268,10,10,https://testapi.logiqids.com/v2/sub-user/login/,3827,0,54
1672812773461,3199,sub-user,200,OK,Thread Group 1-2,text,true,,51913,521,10,10,https://testapi.logiqids.com/v2/user/322335/sub-user/,1999,0,0
1672812773461,1999,sub-user-0,301,Moved Permanently,Thread Group 1-2,text,true,,206,260,10,10,https://testapi.logiqids.com/v2/user/322335/sub-user,1999,0,0
1672812775463,1197,sub-user-1,200,OK,Thread Group 1-2,text,true,,51707,261,10,10,https://testapi.logiqids.com/v2/user/322335/sub-user/,1189,0,0
1672812774424,2243,sub-user,200,OK,Thread Group 1-9,text,true,,51913,521,10,10,https://testapi.logiqids.com/v2/user/322335/sub-user/,1039,0,0
1672812774424,1039,sub-user-0,301,Moved Permanently,Thread Group 1-9,text,true,,206,260,10,10,https://testapi.logiqids.com/v2/user/322335/sub-user,1039,0,0
1672812775464,1203,sub-user-1,200,OK,Thread Group 1-9,text,true,,51707,261,10,10,https://testapi.logiqids.com/v2/user/322335/sub-user/,1196,0,0
1672812773463,3818,sub-user,200,OK,Thread Group 1-5,text,true,,51913,521,10,10,https://testapi.logiqids.com/v2/user/322335/sub-user/,2002,0,0
1672812773463,2002,sub-user-0,301,Moved Permanently,Thread Group 1-5,text,true,,206,260,10,10,https://testapi.logiqids.com/v2/user/322335/sub-user,2002,0,0
1672812775465,1816,sub-user-1,200,OK,Thread Group 1-5,text,true,,51707,261,10,10,https://testapi.logiqids.com/v2/user/322335/sub-user/,1814,0,0
1672812774428,3342,sub-user,200,OK,Thread Group 1-7,text,true,,51913,521,10,10,https://testapi.logiqids.com/v2/user/322335/sub-user/,1039,0,0
1672812774428,1039,sub-user-0,301,Moved Permanently,Thread Group 1-7,text,true,,206,260,10,10,https://testapi.logiqids.com/v2/user/322335/sub-user,1039,0,0
1672812775467,2303,sub-user-1,200,OK,Thread Group 1-7,text,true,,51707,261,10,10,https://testapi.logiqids.com/v2/user/322335/sub-user/,2301,0,0
1672812773460,4312,sub-user,200,OK,Thread Group 1-1,text,true,,51913,521,10,10,https://testapi.logiqids.com/v2/user/322335/sub-user/,2005,0,0
1672812773460,2005,sub-user-0,301,Moved Permanently,Thread Group 1-1,text,true,,206,260,10,10,https://testapi.logiqids.com/v2/user/322335/sub-user,2005,0,0
1672812775467,2305,sub-user-1,200,OK,Thread Group 1-1,text,true,,51707,261,10,10,https://testapi.logiqids.com/v2/user/322335/sub-user/,2297,0,0
1672812774428,4078,sub-user,200,OK,Thread Group 1-4,text,true,,51913,521,10,10,https://testapi.logiqids.com/v2/user/322335/sub-user/,1040,0,0
1672812774428,1040,sub-user-0,301,Moved Permanently,Thread Group 1-4,text,true,,206,260,10,10,https://testapi.logiqids.com/v2/user/322335/sub-user,1040,0,0
1672812775468,3038,sub-user-1,200,OK,Thread Group 1-4,text,true,,51707,261,10,10,https://testapi.logiqids.com/v2/user/322335/sub-user/,3036,0,0
1672812775452,3471,sub-user,200,OK,Thread Group 1-3,text,true,,51913,521,10,10,https://testapi.logiqids.com/v2/user/322335/sub-user/,18,0,0
1672812775452,18,sub-user-0,301,Moved Permanently,Thread Group 1-3,text,true,,206,260,10,10,https://testapi.logiqids.com/v2/user/322335/sub-user,18,0,0
1672812775470,3453,sub-user-1,200,OK,Thread Group 1-3,text,true,,51707,261,10,10,https://testapi.logiqids.com/v2/user/322335/sub-user/,3451,0,0
1672812775459,3475,sub-user,200,OK,Thread Group 1-8,text,true,,51913,521,10,10,https://testapi.logiqids.com/v2/user/322335/sub-user/,15,0,0
1672812775459,15,sub-user-0,301,Moved Permanently,Thread Group 1-8,text,true,,206,260,10,10,https://testapi.logiqids.com/v2/user/322335/sub-user,15,0,0
1672812775474,3460,sub-user-1,200,OK,Thread Group 1-8,text,true,,51707,261,10,10,https://testapi.logiqids.com/v2/user/322335/sub-user/,3455,0,0
1672812776661,2412,userProfile,200,OK,Thread Group 1-2,text,true,,1361,259,10,10,https://testapi.logiqids.com/v1/user/73145/profile/,2412,0,0
1672812776672,2404,userProfile,200,OK,Thread Group 1-9,text,true,,1361,259,10,10,https://testapi.logiqids.com/v1/user/73145/profile/,2403,0,0
1672812777771,1454,userProfile,200,OK,Thread Group 1-7,text,true,,1361,259,10,10,https://testapi.logiqids.com/v1/user/73145/profile/,1454,0,0
1672812777282,1943,userProfile,200,OK,Thread Group 1-5,text,true,,1361,259,10,10,https://testapi.logiqids.com/v1/user/73145/profile/,1943,0,0
1672812777773,1598,userProfile,200,OK,Thread Group 1-1,text,true,,1361,259,10,10,https://testapi.logiqids.com/v1/user/73145/profile/,1598,0,0
1672812778508,869,userProfile,200,OK,Thread Group 1-4,text,true,,1361,259,10,10,https://testapi.logiqids.com/v1/user/73145/profile/,869,0,0
1672812778924,599,userProfile,200,OK,Thread Group 1-3,text,true,,1361,259,10,10,https://testapi.logiqids.com/v1/user/73145/profile/,599,0,0
1672812778935,595,userProfile,200,OK,Thread Group 1-8,text,true,,1361,259,10,10,https://testapi.logiqids.com/v1/user/73145/profile/,595,0,0
1672812779074,488,getTestState,200,OK,Thread Group 1-2,text,true,,248,262,10,10,https://testapi.logiqids.com/v2/user/73145/test_state/,488,0,0
1672812779080,515,getTestState,200,OK,Thread Group 1-9,text,true,,248,262,10,10,https://testapi.logiqids.com/v2/user/73145/test_state/,515,0,0
1672812779226,396,getTestState,200,OK,Thread Group 1-7,text,true,,248,262,10,10,https://testapi.logiqids.com/v2/user/73145/test_state/,396,0,0
1672812779227,429,getTestState,200,OK,Thread Group 1-5,text,true,,248,262,10,10,https://testapi.logiqids.com/v2/user/73145/test_state/,429,0,0
1672812779372,314,getTestState,200,OK,Thread Group 1-1,text,true,,248,262,10,10,https://testapi.logiqids.com/v2/user/73145/test_state/,314,0,0
1672812779377,338,getTestState,200,OK,Thread Group 1-4,text,true,,248,262,10,10,https://testapi.logiqids.com/v2/user/73145/test_state/,338,0,0
1672812779523,226,getTestState,200,OK,Thread Group 1-3,text,true,,248,262,10,10,https://testapi.logiqids.com/v2/user/73145/test_state/,226,0,0
1672812779530,252,getTestState,200,OK,Thread Group 1-8,text,true,,248,262,10,10,https://testapi.logiqids.com/v2/user/73145/test_state/,252,0,0
1672812775459,4352,sub-user,200,OK,Thread Group 1-6,text,true,,51913,521,10,10,https://testapi.logiqids.com/v2/user/322335/sub-user/,16,0,0
1672812775459,16,sub-user-0,301,Moved Permanently,Thread Group 1-6,text,true,,206,260,10,10,https://testapi.logiqids.com/v2/user/322335/sub-user,16,0,0
