timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
2023/01/18 11:14:02.861,675,Result Login Validation,200,OK,Result Login by OTP 1-3,text,true,,294,288,5,5,https://testapi.logiqids.com/v1/user/result/login/validation/,674,0,257
2023/01/18 11:14:03.160,523,Result Login Validation,200,OK,Result Login by OTP 1-4,text,true,,294,288,5,5,https://testapi.logiqids.com/v1/user/result/login/validation/,523,0,91
2023/01/18 11:14:03.457,351,Result Login Validation,200,OK,Result Login by OTP 1-5,text,true,,294,288,6,6,https://testapi.logiqids.com/v1/user/result/login/validation/,351,0,37
2023/01/18 11:14:02.573,1496,Result Login Validation,200,OK,Result Login by OTP 1-2,text,true,,294,288,7,7,https://testapi.logiqids.com/v1/user/result/login/validation/,1496,0,540
2023/01/18 11:14:02.495,1590,Result Login Validation,200,OK,Result Login by OTP 1-1,text,true,,294,288,7,7,https://testapi.logiqids.com/v1/user/result/login/validation/,1590,0,617
2023/01/18 11:14:04.069,701,Send OTP Result,200,OK,Result Login by OTP 1-2,text,true,,261,278,8,8,https://testapi.logiqids.com/v1/user/result/send/otp/,701,0,0
2023/01/18 11:14:04.085,686,Send OTP Result,200,OK,Result Login by OTP 1-1,text,true,,261,278,8,8,https://testapi.logiqids.com/v1/user/result/send/otp/,686,0,0
2023/01/18 11:14:03.554,1218,Send OTP Result,200,OK,Result Login by OTP 1-3,text,true,,285,278,8,8,https://testapi.logiqids.com/v1/user/result/send/otp/,1218,0,0
2023/01/18 11:14:03.683,1080,Send OTP Result,200,OK,Result Login by OTP 1-4,text,true,,285,278,7,7,https://testapi.logiqids.com/v1/user/result/send/otp/,1079,0,0
2023/01/18 11:14:04.032,745,Result Login Validation,200,OK,Result Login by OTP 1-7,text,true,,294,288,9,9,https://testapi.logiqids.com/v1/user/result/login/validation/,745,0,42
2023/01/18 11:14:03.732,1045,Result Login Validation,200,OK,Result Login by OTP 1-6,text,true,,294,288,9,9,https://testapi.logiqids.com/v1/user/result/login/validation/,1045,0,104
2023/01/18 11:14:03.809,969,Send OTP Result,200,OK,Result Login by OTP 1-5,text,true,,285,278,9,9,https://testapi.logiqids.com/v1/user/result/send/otp/,969,0,0
2023/01/18 11:14:04.777,259,Send OTP Result,200,OK,Result Login by OTP 1-7,text,true,,261,278,10,10,https://testapi.logiqids.com/v1/user/result/send/otp/,259,0,0
2023/01/18 11:14:04.777,276,Send OTP Result,200,OK,Result Login by OTP 1-6,text,true,,261,278,10,10,https://testapi.logiqids.com/v1/user/result/send/otp/,276,0,0
2023/01/18 11:14:04.774,423,Result Login Validation,200,OK,Result Login by OTP 1-8,text,true,,294,288,10,10,https://testapi.logiqids.com/v1/user/result/login/validation/,423,0,32
2023/01/18 11:14:04.771,440,Result Login Validation,200,OK,Result Login by OTP 1-9,text,true,,294,288,10,10,https://testapi.logiqids.com/v1/user/result/login/validation/,440,0,40
2023/01/18 11:14:04.779,436,Submit OTP Result,200,OK,Result Login by OTP 1-5,text,true,,408,297,10,10,https://testapi.logiqids.com/v1/user/result/submit/otp/,436,0,0
2023/01/18 11:14:04.770,447,Submit OTP Result,200,OK,Result Login by OTP 1-2,text,true,,408,297,10,10,https://testapi.logiqids.com/v1/user/result/submit/otp/,447,0,0
2023/01/18 11:14:04.774,453,Submit OTP Result,200,OK,Result Login by OTP 1-4,text,true,,408,297,11,11,https://testapi.logiqids.com/v1/user/result/submit/otp/,453,0,0
2023/01/18 11:14:04.773,503,Submit OTP Result,200,OK,Result Login by OTP 1-3,text,true,,408,297,11,11,https://testapi.logiqids.com/v1/user/result/submit/otp/,503,0,0
2023/01/18 11:14:05.216,75,userProfile,200,OK,Result Login by OTP 1-5,text,true,,1405,298,11,11,https://testapi.logiqids.com/v1/user/88311/profile/,75,0,0
2023/01/18 11:14:05.291,19,Lotte Popup,200,OK,Result Login by OTP 1-5,text,true,,575,302,11,11,https://testapi.logiqids.com/v1/user/73145/lotte_popup/,19,0,0
2023/01/18 11:14:04.929,388,Result Login Validation,200,OK,Result Login by OTP 1-10,text,true,,294,288,11,11,https://testapi.logiqids.com/v1/user/result/login/validation/,388,0,25
2023/01/18 11:14:05.218,105,userProfile,200,OK,Result Login by OTP 1-2,text,true,,1370,299,11,11,https://testapi.logiqids.com/v1/user/662945/profile/,105,0,0
2023/01/18 11:14:05.228,103,userProfile,200,OK,Result Login by OTP 1-4,text,true,,1376,299,11,11,https://testapi.logiqids.com/v1/user/662956/profile/,103,0,0
2023/01/18 11:14:05.277,67,userProfile,200,OK,Result Login by OTP 1-3,text,true,,1370,299,11,11,https://testapi.logiqids.com/v1/user/662898/profile/,67,0,0
2023/01/18 11:14:05.323,22,Lotte Popup,200,OK,Result Login by OTP 1-2,text,true,,575,302,11,11,https://testapi.logiqids.com/v1/user/73145/lotte_popup/,22,0,0
2023/01/18 11:14:05.344,27,Lotte Popup,200,OK,Result Login by OTP 1-3,text,true,,575,302,11,11,https://testapi.logiqids.com/v1/user/73145/lotte_popup/,27,0,0
2023/01/18 11:14:05.332,61,Lotte Popup,200,OK,Result Login by OTP 1-4,text,true,,575,302,11,11,https://testapi.logiqids.com/v1/user/73145/lotte_popup/,61,0,0
2023/01/18 11:14:05.346,86,App Olympiad Dashboard,200,OK,Result Login by OTP 1-2,text,true,,771,313,11,11,https://testapi.logiqids.com/v4/user/73145/app/olympiad/dashboard/,86,0,0
2023/01/18 11:14:05.372,75,App Olympiad Dashboard,200,OK,Result Login by OTP 1-3,text,true,,771,313,11,11,https://testapi.logiqids.com/v4/user/73145/app/olympiad/dashboard/,75,0,0
2023/01/18 11:14:05.198,269,Send OTP Result,200,OK,Result Login by OTP 1-8,text,true,,261,278,11,11,https://testapi.logiqids.com/v1/user/result/send/otp/,269,0,0
2023/01/18 11:14:05.212,267,Send OTP Result,200,OK,Result Login by OTP 1-9,text,true,,261,278,11,11,https://testapi.logiqids.com/v1/user/result/send/otp/,267,0,0
2023/01/18 11:14:05.311,180,App Olympiad Dashboard,200,OK,Result Login by OTP 1-5,text,true,,771,313,11,11,https://testapi.logiqids.com/v4/user/73145/app/olympiad/dashboard/,179,0,0
2023/01/18 11:14:05.393,140,App Olympiad Dashboard,200,OK,Result Login by OTP 1-4,text,true,,771,313,12,12,https://testapi.logiqids.com/v4/user/73145/app/olympiad/dashboard/,140,0,0
2023/01/18 11:14:04.772,767,Submit OTP Result,200,OK,Result Login by OTP 1-1,text,true,,408,297,12,12,https://testapi.logiqids.com/v1/user/result/submit/otp/,767,0,0
2023/01/18 11:14:05.448,129,Content Dashboard Home,200,OK,Result Login by OTP 1-3,text,true,,3533,313,12,12,https://testapi.logiqids.com/v4/user/73145/content/dashboard/home/,129,0,0
2023/01/18 11:14:05.577,16,Dashboard Notification,200,OK,Result Login by OTP 1-3,text,true,,504,321,12,12,https://testapi.logiqids.com/v4/user/73145/content/dashboard/notification/,15,0,0
2023/01/18 11:14:05.318,277,Send OTP Result,200,OK,Result Login by OTP 1-10,text,true,,261,278,12,12,https://testapi.logiqids.com/v1/user/result/send/otp/,277,0,0
