timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674038022121,839,Result Login Validation,200,OK,Result Login by OTP 1-4,text,true,,294,288,9,9,https://testapi.logiqids.com/v1/user/result/login/validation/,839,0,458
1674038021883,1133,Result Login Validation,200,OK,Result Login by OTP 1-1,text,true,,294,288,10,10,https://testapi.logiqids.com/v1/user/result/login/validation/,1133,0,691
1674038021973,1147,Result Login Validation,200,OK,Result Login by OTP 1-3,text,true,,294,288,10,10,https://testapi.logiqids.com/v1/user/result/login/validation/,1147,0,602
1674038022260,900,Result Login Validation,200,OK,Result Login by OTP 1-5,text,true,,294,288,11,11,https://testapi.logiqids.com/v1/user/result/login/validation/,900,0,318
1674038021881,1317,Result Login Validation,200,OK,Result Login by OTP 1-2,text,true,,294,288,11,11,https://testapi.logiqids.com/v1/user/result/login/validation/,1317,0,694
1674038022553,671,Result Login Validation,200,OK,Result Login by OTP 1-7,text,true,,294,288,11,11,https://testapi.logiqids.com/v1/user/result/login/validation/,671,0,50
1674038022696,580,Result Login Validation,200,OK,Result Login by OTP 1-8,text,true,,294,288,11,11,https://testapi.logiqids.com/v1/user/result/login/validation/,579,0,49
1674038022847,486,Result Login Validation,200,OK,Result Login by OTP 1-9,text,true,,294,288,12,12,https://testapi.logiqids.com/v1/user/result/login/validation/,485,0,58
1674038023145,352,Result Login Validation,200,OK,Result Login by OTP 1-11,text,true,,294,288,13,13,https://testapi.logiqids.com/v1/user/result/login/validation/,352,0,33
1674038022406,1120,Result Login Validation,200,OK,Result Login by OTP 1-6,text,true,,294,288,13,13,https://testapi.logiqids.com/v1/user/result/login/validation/,1120,0,175
1674038023011,555,Result Login Validation,200,OK,Result Login by OTP 1-10,text,true,,294,288,13,13,https://testapi.logiqids.com/v1/user/result/login/validation/,555,0,30
1674038023498,266,Send OTP Result,200,OK,Result Login by OTP 1-11,text,true,,262,278,15,15,https://testapi.logiqids.com/v1/user/result/send/otp/,265,0,0
1674038023527,256,Send OTP Result,200,OK,Result Login by OTP 1-6,text,true,,262,278,15,15,https://testapi.logiqids.com/v1/user/result/send/otp/,256,0,0
1674038023566,257,Send OTP Result,200,OK,Result Login by OTP 1-10,text,true,,262,278,15,15,https://testapi.logiqids.com/v1/user/result/send/otp/,257,0,0
1674038022967,907,Send OTP Result,200,OK,Result Login by OTP 1-4,text,true,,285,278,15,15,https://testapi.logiqids.com/v1/user/result/send/otp/,907,0,0
1674038023017,890,Send OTP Result,200,OK,Result Login by OTP 1-1,text,true,,285,278,16,16,https://testapi.logiqids.com/v1/user/result/send/otp/,890,0,0
1674038023121,805,Send OTP Result,200,OK,Result Login by OTP 1-3,text,true,,285,278,16,16,https://testapi.logiqids.com/v1/user/result/send/otp/,805,0,0
1674038023161,829,Send OTP Result,200,OK,Result Login by OTP 1-5,text,true,,285,278,16,16,https://testapi.logiqids.com/v1/user/result/send/otp/,829,0,0
1674038023198,799,Send OTP Result,200,OK,Result Login by OTP 1-2,text,true,,285,278,16,16,https://testapi.logiqids.com/v1/user/result/send/otp/,799,0,0
1674038023224,797,Send OTP Result,200,OK,Result Login by OTP 1-7,text,true,,285,278,16,16,https://testapi.logiqids.com/v1/user/result/send/otp/,797,0,0
1674038023277,799,Send OTP Result,200,OK,Result Login by OTP 1-8,text,true,,285,278,17,17,https://testapi.logiqids.com/v1/user/result/send/otp/,799,0,0
1674038023351,782,Send OTP Result,200,OK,Result Login by OTP 1-9,text,true,,285,278,17,17,https://testapi.logiqids.com/v1/user/result/send/otp/,782,0,0
1674038023764,386,Submit OTP Result,200,OK,Result Login by OTP 1-11,text,true,,408,297,17,17,https://testapi.logiqids.com/v1/user/result/submit/otp/,385,0,0
1674038023763,395,Result Login Validation,200,OK,Result Login by OTP 1-15,text,true,,294,288,17,17,https://testapi.logiqids.com/v1/user/result/login/validation/,395,0,97
1674038023824,409,Submit OTP Result,200,OK,Result Login by OTP 1-10,text,true,,408,297,18,18,https://testapi.logiqids.com/v1/user/result/submit/otp/,409,0,0
1674038024150,98,userProfile,200,OK,Result Login by OTP 1-11,text,true,,1405,298,18,18,https://testapi.logiqids.com/v1/user/87630/profile/,98,0,0
1674038023784,507,Submit OTP Result,200,OK,Result Login by OTP 1-6,text,true,,408,297,18,18,https://testapi.logiqids.com/v1/user/result/submit/otp/,507,0,0
1674038024248,52,Lotte Popup,200,OK,Result Login by OTP 1-11,text,true,,575,302,18,18,https://testapi.logiqids.com/v1/user/73145/lotte_popup/,52,0,0
1674038024233,72,userProfile,200,OK,Result Login by OTP 1-10,text,true,,1373,298,18,18,https://testapi.logiqids.com/v1/user/96872/profile/,72,0,0
1674038023461,854,Result Login Validation,200,OK,Result Login by OTP 1-13,text,true,,294,288,18,18,https://testapi.logiqids.com/v1/user/result/login/validation/,854,0,241
1674038023875,456,Submit OTP Result,200,OK,Result Login by OTP 1-4,text,true,,408,297,18,18,https://testapi.logiqids.com/v1/user/result/submit/otp/,456,0,0
1674038024305,49,Lotte Popup,200,OK,Result Login by OTP 1-10,text,true,,575,302,19,19,https://testapi.logiqids.com/v1/user/73145/lotte_popup/,49,0,0
1674038024291,89,userProfile,200,OK,Result Login by OTP 1-6,text,true,,1411,298,19,19,https://testapi.logiqids.com/v1/user/84180/profile/,89,0,0
1674038023926,456,Submit OTP Result,200,OK,Result Login by OTP 1-3,text,true,,408,297,19,19,https://testapi.logiqids.com/v1/user/result/submit/otp/,456,0,0
1674038024332,65,userProfile,200,OK,Result Login by OTP 1-4,text,true,,1376,299,19,19,https://testapi.logiqids.com/v1/user/662956/profile/,65,0,0
1674038024380,30,Lotte Popup,200,OK,Result Login by OTP 1-6,text,true,,575,302,19,19,https://testapi.logiqids.com/v1/user/73145/lotte_popup/,30,0,0
1674038024159,264,Send OTP Result,200,OK,Result Login by OTP 1-15,text,true,,262,278,19,19,https://testapi.logiqids.com/v1/user/result/send/otp/,264,0,0
1674038024397,36,Lotte Popup,200,OK,Result Login by OTP 1-4,text,true,,575,302,19,19,https://testapi.logiqids.com/v1/user/73145/lotte_popup/,36,0,0
1674038024077,1400,Submit OTP Result,200,OK,Result Login by OTP 1-8,text,true,,408,297,19,19,https://testapi.logiqids.com/v1/user/result/submit/otp/,1400,0,0
1674038023901,1578,Result Login Validation,200,OK,Result Login by OTP 1-16,text,true,,294,288,19,19,https://testapi.logiqids.com/v1/user/result/login/validation/,1578,0,135
1674038024354,1126,App Olympiad Dashboard,200,OK,Result Login by OTP 1-10,text,true,,771,313,19,19,https://testapi.logiqids.com/v4/user/73145/app/olympiad/dashboard/,1126,0,0
1674038023603,1880,Result Login Validation,200,OK,Result Login by OTP 1-14,text,true,,294,288,19,19,https://testapi.logiqids.com/v1/user/result/login/validation/,1880,0,125
1674038024424,1066,Submit OTP Result,200,OK,Result Login by OTP 1-15,text,true,,408,297,22,22,https://testapi.logiqids.com/v1/user/result/submit/otp/,1066,0,0
1674038024192,1299,Result Login Validation,200,OK,Result Login by OTP 1-18,text,true,,294,288,22,22,https://testapi.logiqids.com/v1/user/result/login/validation/,1299,0,101
1674038024049,1443,Result Login Validation,200,OK,Result Login by OTP 1-17,text,true,,294,288,23,23,https://testapi.logiqids.com/v1/user/result/login/validation/,1443,0,100
1674038024022,1478,Submit OTP Result,200,OK,Result Login by OTP 1-7,text,true,,408,297,25,25,https://testapi.logiqids.com/v1/user/result/submit/otp/,1478,0,0
1674038023997,1503,Submit OTP Result,200,OK,Result Login by OTP 1-2,text,true,,408,297,25,25,https://testapi.logiqids.com/v1/user/result/submit/otp/,1503,0,0
1674038023990,1516,Submit OTP Result,200,OK,Result Login by OTP 1-5,text,true,,408,297,25,25,https://testapi.logiqids.com/v1/user/result/submit/otp/,1516,0,0
1674038024316,1190,Send OTP Result,200,OK,Result Login by OTP 1-13,text,true,,262,278,25,25,https://testapi.logiqids.com/v1/user/result/send/otp/,1190,0,0
1674038023907,1600,Submit OTP Result,200,OK,Result Login by OTP 1-1,text,true,,408,297,25,25,https://testapi.logiqids.com/v1/user/result/submit/otp/,1600,0,0
1674038024134,1374,Submit OTP Result,200,OK,Result Login by OTP 1-9,text,true,,408,297,25,25,https://testapi.logiqids.com/v1/user/result/submit/otp/,1374,0,0
1674038024434,1076,App Olympiad Dashboard,200,OK,Result Login by OTP 1-4,text,true,,771,313,25,25,https://testapi.logiqids.com/v4/user/73145/app/olympiad/dashboard/,1076,0,0
1674038023306,2205,Result Login Validation,200,OK,Result Login by OTP 1-12,text,true,,294,288,25,25,https://testapi.logiqids.com/v1/user/result/login/validation/,2205,0,580
1674038024410,1102,App Olympiad Dashboard,200,OK,Result Login by OTP 1-6,text,true,,771,313,25,25,https://testapi.logiqids.com/v4/user/73145/app/olympiad/dashboard/,1102,0,0
